model,sigma,PE_1h,PE_6h,PE_12h
storm_bz,0.0,0.987 +/- 0.000,0.906 +/- 0.003,0.863 +/- 0.005
storm_bz,0.5,0.986 +/- 0.000,0.891 +/- 0.004,0.840 +/- 0.006
storm_bz,1.0,0.983 +/- 0.001,0.848 +/- 0.008,0.770 +/- 0.015
storm_bz,2.0,0.976 +/- 0.002,0.742 +/- 0.018,0.569 +/- 0.047
tf_ffn256,0.0,0.976 +/- 0.002,0.902 +/- 0.003,0.856 +/- 0.005
tf_ffn256,0.5,0.964 +/- 0.006,0.889 +/- 0.003,0.843 +/- 0.005
tf_ffn256,1.0,0.927 +/- 0.015,0.840 +/- 0.009,0.783 +/- 0.012
tf_ffn256,2.0,0.772 +/- 0.041,0.640 +/- 0.042,0.548 +/- 0.058
tf_ffn256_res,0.0,0.987 +/- 0.001,0.909 +/- 0.005,0.865 +/- 0.005
tf_ffn256_res,0.5,0.984 +/- 0.001,0.896 +/- 0.004,0.842 +/- 0.006
tf_ffn256_res,1.0,0.979 +/- 0.003,0.852 +/- 0.009,0.762 +/- 0.018
tf_ffn256_res,2.0,0.969 +/- 0.006,0.729 +/- 0.031,0.542 +/- 0.048
transformer_matched,0.0,0.981 +/- 0.002,0.904 +/- 0.004,0.858 +/- 0.006
transformer_matched,0.5,0.969 +/- 0.003,0.886 +/- 0.004,0.837 +/- 0.005
transformer_matched,1.0,0.934 +/- 0.010,0.825 +/- 0.010,0.755 +/- 0.013
transformer_matched,2.0,0.775 +/- 0.031,0.612 +/- 0.034,0.498 +/- 0.046
