,PE_1h,PE_1h,PE_1h,PE_6h,PE_6h,PE_6h,PE_12h,PE_12h,PE_12h,PE_pers_1h,PE_pers_1h,PE_pers_1h
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
name,,,,,,,,,,,,
lstm,0.9554301381111145,0.004653320848625856,15,0.8805761178334554,0.00551844610350754,15,0.8399694522221883,0.005857842648156857,15,-1.1947656313578288,0.22914450380534532,15
storm_bz,0.9860284328460693,0.00031390405105868137,15,0.8995162725448609,0.003085937244434001,15,0.8538069883982341,0.005710470181420039,15,0.31199429829915365,0.01545784187419566,15
storm_cathode,0.9861381848653158,0.0002654800739738458,15,0.9010557015736897,0.002288886933055483,15,0.8549428343772888,0.004867736842546716,15,0.3173987627029419,0.013073007529650908,15
storm_cathode_spec,0.9861830472946167,0.00024373845717146964,15,0.9016117970148723,0.0032901817347947174,15,0.8563142538070678,0.00486544015779748,15,0.319607933362325,0.012002072916354441,15
storm_no_delay,0.9869152506192526,0.00024404722610866153,15,0.9016622145970662,0.0023365945625988148,15,0.8554515679677327,0.004337847322292839,15,0.3556647300720215,0.012017606229146254,15
storm_no_gate,0.9862141807874044,0.0004414043803280771,15,0.9003934144973755,0.003518370726794572,15,0.8559396902720133,0.003983682997557905,15,0.3211414933204651,0.021736636175136496,15
storm_no_physics,0.9860387007395427,0.00026303077598697697,15,0.8987367630004883,0.003745141156249904,15,0.8501827359199524,0.0064848796380285074,15,0.31249990065892536,0.012952165465455691,15
storm_radiotrophic,0.9863037784894307,0.00017709679437069036,15,0.9007444898287456,0.0035054918958898926,15,0.8544563730557759,0.00515094330909304,15,0.3255535960197449,0.0087209147198681,15
transformer,0.9781472245852153,0.0031392853682968938,15,0.8947328726450602,0.003976124476848447,15,0.8454431653022766,0.007657193427833277,15,-0.07610239187876383,0.15458878511476215,15
transformer_matched,0.9795209646224976,0.0027623393664454867,15,0.8952916502952576,0.00499437868364802,15,0.8451521555582683,0.006903426862357616,15,-0.008454644680023193,0.1360265841547676,15
